external_key,赛事名称,推荐等级,参赛形态,报名方式,正式组队,优先级,官方来源,行动入口,费用说明,核验时间,验收结论
cumcm_guangdong_2026,2026高教社杯全国大学生数学建模竞赛（广东赛区）,A,individual_or_team,school_notice,是,98,https://math.sysu.edu.cn/article/3910,https://math.sysu.edu.cn/article/3910,广东赛区报名费300元/队。,2026-08-11T20:27:06+08:00,中山大学官方通知；已将操作入口从全国平台改为校内通知。
cnmc_guangdong_2026,第十八届全国大学生数学竞赛广东赛区初赛暨第十六届广东省大学生数学竞赛,A,individual,school_coordinated,否（备赛搭子）,90,https://math.sysu.edu.cn/article/3913,https://math.sysu.edu.cn/article/3913,报名费100元/人，由学校统一汇款。,2026-08-11T20:27:06+08:00,广东省数学会通知可信；报名不是学生直报，需学校统一组织。
ncccu_office_2026,2026年第八届全国高校计算机能力挑战赛——办公软件高级应用赛,B,individual,direct,否（备赛搭子）,70,https://www.ncccu.org.cn/index/Paper/case3.html,https://www.ncccu.org.cn/index/Paper/case3.html,区域赛个人赛80元/科，国赛不再另收费。,2026-08-11T20:27:06+08:00,主办方赛项页字段完整；个人赛仅开放备赛搭子，不作为正式组队。
ncccu_programming_2026,2026年第八届全国高校计算机能力挑战赛——程序设计挑战赛,B,individual,direct,否（备赛搭子）,74,https://www.ncccu.org.cn/index/Paper/case4.html,https://www.ncccu.org.cn/index/Paper/case4.html,区域赛个人赛80元/科，国赛不再另收费。,2026-08-11T20:27:06+08:00,修正奖金口径：前三名学生600元/名，而非队伍1000元/队。
ncccu_ai_2026,2026年第八届全国高校计算机能力挑战赛——人工智能挑战赛,B,individual_or_team,direct,是,78,https://www.ncccu.org.cn/index/Paper/case1.html,https://www.ncccu.org.cn/index/Paper/case1.html,区域赛团队赛200元/队，国赛不再另收费。,2026-08-11T20:27:06+08:00,主办方赛项页的时间、队伍和奖金字段完整，可直接组队。
ncccu_bigdata_2026,2026年第八届全国高校计算机能力挑战赛——大数据挑战赛,B,individual_or_team,direct,是,78,https://www.ncccu.org.cn/index/Paper/case2.html,https://www.ncccu.org.cn/index/Paper/case2.html,区域赛团队赛200元/队，国赛不再另收费。,2026-08-11T20:27:06+08:00,主办方赛项页的时间、队伍和奖金字段完整，可直接组队。
aiadc_smart_application_2026,2026全国大学生智能应用开发大赛,B,individual_or_team,direct,是,80,https://aiadc.org.cn/docs/participation/,https://bm.aiadc.org.cn/,官网赛程提及缴费，金额以报名系统和后续正式通知为准。,2026-08-11T20:27:06+08:00,官网规则完整，但组织与费用信息透明度低于A档，保留B档观察。
aic_algorithm_application_2026,第八届全球校园人工智能算法精英大赛——算法应用赛道（赛区制赛题）,A,individual_or_team,school_coordinated,是,90,https://www.aicomp.cn/notice/notice-1/3655.html,https://reg.aicomp.cn/,参加省赛/区域赛的队伍按官方通知缴纳500元/队。,2026-08-11T20:27:06+08:00,官方赛道通知完整；存在校赛前置步骤，需学校/赛区协调。
aic_digital_economy_decision_2026,第八届全球校园人工智能算法精英大赛——数字经济分析与智能决策应用赛,A,team,school_coordinated,是,92,https://www.aicomp.cn/notice/notice-3/3635.html,https://reg.aicomp.cn/,晋级复赛的队伍按官方通知缴纳500元/队。,2026-08-11T20:27:06+08:00,官方专项赛通知字段完整；存在校内初赛与推荐前置步骤。
aic_indoor_agriculture_transplant_2026,第八届全球校园人工智能算法精英大赛——室内农业·智公移苗任务赛,A,individual_or_team,direct,是,90,https://www.aicomp.cn/notice/notice-3/4784.html,https://reg.aicomp.cn/,参赛队伍按官方通知缴纳500元/队。,2026-08-11T20:27:06+08:00,官方主题赛通知含选拔和山东线下总决赛信息。
