赛事名称,官方来源,报名来源,核验时间,核验结论,缺失字段
2026高教社杯全国大学生数学建模竞赛（广东赛区）,https://math.sysu.edu.cn/article/3910,https://cumcm.cnki.net/,2026-08-11T20:04:54+08:00,可行动：官方通知、报名入口、时间、模式、地点、奖励、资格和队伍约束已核验,
第十八届全国大学生数学竞赛广东赛区初赛暨第十六届广东省大学生数学竞赛,https://math.sysu.edu.cn/article/3913,https://math.sysu.edu.cn/article/3913,2026-08-11T20:04:54+08:00,可行动：官方通知、报名入口、时间、模式、地点、奖励、资格和队伍约束已核验,
2026年第八届全国高校计算机能力挑战赛——办公软件高级应用赛,https://www.ncccu.org.cn/index/Paper/case3.html,https://www.ncccu.org.cn/index/Paper/case3.html,2026-08-11T20:04:54+08:00,可行动：官方通知、报名入口、时间、模式、地点、奖励、资格和队伍约束已核验,
2026年第八届全国高校计算机能力挑战赛——程序设计挑战赛,https://www.ncccu.org.cn/index/Paper/case4.html,https://www.ncccu.org.cn/index/Paper/case4.html,2026-08-11T20:04:54+08:00,可行动：官方通知、报名入口、时间、模式、地点、奖励、资格和队伍约束已核验,
2026年第八届全国高校计算机能力挑战赛——人工智能挑战赛,https://www.ncccu.org.cn/index/Paper/case1.html,https://www.ncccu.org.cn/index/Paper/case1.html,2026-08-11T20:04:54+08:00,可行动：官方通知、报名入口、时间、模式、地点、奖励、资格和队伍约束已核验,
2026年第八届全国高校计算机能力挑战赛——大数据挑战赛,https://www.ncccu.org.cn/index/Paper/case2.html,https://www.ncccu.org.cn/index/Paper/case2.html,2026-08-11T20:04:54+08:00,可行动：官方通知、报名入口、时间、模式、地点、奖励、资格和队伍约束已核验,
2026全国大学生智能应用开发大赛,https://aiadc.org.cn/docs/participation/,https://bm.aiadc.org.cn/,2026-08-11T20:04:54+08:00,可行动：官方通知、报名入口、时间、模式、地点、奖励、资格和队伍约束已核验,
第八届全球校园人工智能算法精英大赛——算法应用赛道（赛区制赛题）,https://www.aicomp.cn/notice/notice-1/3655.html,https://reg.aicomp.cn/,2026-08-11T20:04:54+08:00,可行动：官方通知、报名入口、时间、模式、地点、奖励、资格和队伍约束已核验,
第八届全球校园人工智能算法精英大赛——数字经济分析与智能决策应用赛,https://www.aicomp.cn/notice/notice-3/3635.html,https://reg.aicomp.cn/,2026-08-11T20:04:54+08:00,可行动：官方通知、报名入口、时间、模式、地点、奖励、资格和队伍约束已核验,
第八届全球校园人工智能算法精英大赛——室内农业·智公移苗任务赛,https://www.aicomp.cn/notice/notice-3/4784.html,https://reg.aicomp.cn/,2026-08-11T20:04:54+08:00,可行动：官方通知、报名入口、时间、模式、地点、奖励、资格和队伍约束已核验,
