dataset,record_id,field,source_type,source_url_or_command,captured_at,confidence,note
campuses.v1.json,guangzhou_south,canonical_name,official_web,https://www.sysu.edu.cn/xxg/zdxq.htm,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,guangzhou_south,canonical_name,sysu_anything_cli,sysu-anything usc classroom campuses --json,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,guangzhou_south,canonical_name,sysu_anything_cli,sysu-anything usc meeting campuses --json,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,guangzhou_south,official_address,official_web,https://www.sysu.edu.cn/xxg/zdxq.htm,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,guangzhou_south,official_address,sysu_anything_cli,sysu-anything usc classroom campuses --json,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,guangzhou_south,official_address,sysu_anything_cli,sysu-anything usc meeting campuses --json,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,guangzhou_north,canonical_name,official_web,https://www.sysu.edu.cn/xxg/zdxq.htm,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,guangzhou_north,canonical_name,sysu_anything_cli,sysu-anything usc classroom campuses --json,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,guangzhou_north,canonical_name,sysu_anything_cli,sysu-anything usc meeting campuses --json,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,guangzhou_north,official_address,official_web,https://www.sysu.edu.cn/xxg/zdxq.htm,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,guangzhou_north,official_address,sysu_anything_cli,sysu-anything usc classroom campuses --json,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,guangzhou_north,official_address,sysu_anything_cli,sysu-anything usc meeting campuses --json,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,guangzhou_east,canonical_name,official_web,https://www.sysu.edu.cn/xxg/zdxq.htm,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,guangzhou_east,canonical_name,sysu_anything_cli,sysu-anything usc classroom campuses --json,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,guangzhou_east,canonical_name,sysu_anything_cli,sysu-anything usc meeting campuses --json,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,guangzhou_east,official_address,official_web,https://www.sysu.edu.cn/xxg/zdxq.htm,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,guangzhou_east,official_address,sysu_anything_cli,sysu-anything usc classroom campuses --json,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,guangzhou_east,official_address,sysu_anything_cli,sysu-anything usc meeting campuses --json,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,zhuhai,canonical_name,official_web,https://www.sysu.edu.cn/xxg/zdxq.htm,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,zhuhai,canonical_name,sysu_anything_cli,sysu-anything usc classroom campuses --json,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,zhuhai,canonical_name,sysu_anything_cli,sysu-anything usc meeting campuses --json,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,zhuhai,canonical_name,sysu_anything_cli,sysu-anything qg list --today --all --json,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,zhuhai,official_address,official_web,https://www.sysu.edu.cn/xxg/zdxq.htm,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,zhuhai,official_address,sysu_anything_cli,sysu-anything usc classroom campuses --json,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,zhuhai,official_address,sysu_anything_cli,sysu-anything usc meeting campuses --json,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,zhuhai,official_address,sysu_anything_cli,sysu-anything qg list --today --all --json,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,shenzhen,canonical_name,official_web,https://www.sysu.edu.cn/xxg/zdxq.htm,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,shenzhen,canonical_name,sysu_anything_cli,sysu-anything usc classroom campuses --json,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,shenzhen,canonical_name,sysu_anything_cli,sysu-anything usc meeting campuses --json,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,shenzhen,official_address,official_web,https://www.sysu.edu.cn/xxg/zdxq.htm,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,shenzhen,official_address,sysu_anything_cli,sysu-anything usc classroom campuses --json,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
campuses.v1.json,shenzhen,official_address,sysu_anything_cli,sysu-anything usc meeting campuses --json,2026-08-11,partial,官方名称/地址与系统校区枚举交叉核验。
places.v1.json,south_gate,canonical_name/location_text,official_web,https://www.sysu.edu.cn/images/map-south-2024-10.jpg,2026-08-11,verified,
places.v1.json,south_gate,canonical_name/location_text,official_web,https://www.sysu.edu.cn/xxg/zdxq.htm,2026-08-11,verified,
places.v1.json,north_gate,canonical_name/location_text,official_web,https://www.sysu.edu.cn/images/map-south-2024-10.jpg,2026-08-11,verified,
places.v1.json,north_gate,canonical_name/location_text,official_web,https://www.sysu.edu.cn/xxg/zdxq.htm,2026-08-11,verified,
places.v1.json,east_gate,canonical_name/location_text,official_web,https://www.sysu.edu.cn/images/map-south-2024-10.jpg,2026-08-11,verified,
places.v1.json,east_gate,canonical_name/location_text,official_web,https://www.sysu.edu.cn/xxg/zdxq.htm,2026-08-11,verified,
places.v1.json,west_gate,canonical_name/location_text,official_web,https://www.sysu.edu.cn/images/map-south-2024-10.jpg,2026-08-11,verified,
places.v1.json,west_gate,canonical_name/location_text,official_web,https://www.sysu.edu.cn/xxg/zdxq.htm,2026-08-11,verified,
places.v1.json,south_qg_stop,canonical_name/location_text,sysu_anything_cli,sysu-anything qg list --today --all --json,2026-08-11,verified,
places.v1.json,south_qg_stop,canonical_name/location_text,sysu_anything_cli,sysu-anything qg routes,2026-08-11,verified,
places.v1.json,south_bus_south_gate_parking,canonical_name/location_text,sysu_anything_cli,sysu-anything bus --bus 1 --json,2026-08-11,verified,
places.v1.json,south_bus_south_gate_parking,canonical_name/location_text,sysu_anything_cli,sysu-anything bus --bus 0 --json,2026-08-11,verified,
places.v1.json,south_bus_south_gate_parking,canonical_name/location_text,official_web,https://zwc.sysu.edu.cn/article/495,2026-08-11,verified,
places.v1.json,south_bus_new_gym_west_gate,canonical_name/location_text,official_web,https://zwc.sysu.edu.cn/article/495,2026-08-11,partial,
